query,category,chapter,reference_answer,generated_answer,bleu_4,rouge_l,bert_score_f1,input_tokens,output_tokens,top_chunk_score,top_chunk_type
What is a cell and who discovered it?,factual,Ch08_Cell,A cell is the basic unit of life. Robert Hooke discovered cells in 1665 when he observed a thin slice of cork under a microscope and saw small empty compartments which he called cells.,"A cell is the basic unit of life. It is the building block of all living organisms, from tiny bacteria to big animals and plants. All living beings are made up of one or more cells. 

The word 'cell' was first used to describe the basic unit of life in science by Robert Hooke in 1665. He observed cells in a piece of cork and described them as ""small, empty spaces"" or a honeycomb. 

Antonie van Leeuwenhoek is known as the Father of Microbiology because he created better lenses that allowed him to see and describe tiny living things like bacteria and blood cells using a microscope.

Sources:
- 'small, empty spaces' or a honeycomb. 
- He is known as the Father of Microbiology 
- observed cells in a piece of cork 
- created better lenses 
- see and describe tiny living things",0.0715,0.2674,0.8012,903,180,2.7403,dense
What is friction?,factual,Ch12_Friction,Friction is a force that opposes the relative motion between two surfaces in contact. It acts in the direction opposite to the motion of the object.,"Friction is a force that always acts in a direction opposite to the direction in which an object is moving or trying to move. It arises due to the irregularities in the two surfaces that are in contact with each other.

Friction is a contact force that arises due to the locking into place of the minute irregularities on the surfaces of two objects that are in contact. It opposes any effort to move one surface over the other. 

For example, when a ball rolls on a flat ground, it stops after some time because of friction. Similarly, if we stop pedalling our bicycle on a flat road, it slows down and comes to a stop due to friction.

Sources:
- ""The force of friction is a contact force since it arises due to two surfaces in contact."" (Context 1)
- ""However, in all these situations no force appears to be acting on the objects, yet their speed gradually decreases and this may be due to a force of friction."" (Context 4)
- ""The force that comes into play when an object moves or tries to move over another surface is called the force of friction or simply friction."" (Context 5)",0.0527,0.1518,0.8015,912,236,7.1697,dense
What are the types of microorganisms?,factual,Ch02_Microorganisms,"Microorganisms include bacteria, fungi, protozoa, algae, and viruses. They are so tiny that they can only be seen through a microscope.","Microorganisms can be broadly classified into three types: 
- Bacteria
- Fungi
- Protozoa

They can also infect plants, animals, or bacterial cells and may cause disease. Viruses are microscopic, acellular, and require a living cell to multiply.

Some common microorganisms found around us include bacteria, fungi, algae, and protozoa. Yeast, for instance, is a type of fungus used in the process of making various baked goods. 

Examples of unicellular microorganisms include bacteria, Amoeba, and yeast, while examples of multicellular microorganisms include fungi and algae.

Sources:
- ""Bacteria, fungi, and protozoa are different kinds of microorganisms.""
- ""Some microorganisms decompose the plant and animal waste into simple substances and clean up the environment.""
- ""Viruses are microscopic and acellular.""
- ""They are made up of one or more cells.""",0.0519,0.1399,0.7902,896,189,5.2414,dense
What is adolescence?,factual,Ch10_Adolescence,Adolescence is the period of life when the body undergoes many changes as a child grows into an adult. It typically occurs between the ages of 11 and 18 years.,"Adolescence is not covered in the given textbook contexts.

However, it is worth noting that the topics mentioned in the contexts provided, like reproduction, health, and well-being, might be related to adolescent development but the term ""adolescence"" itself is not discussed.

If you have any other question based on the provided contexts, I would be happy to help.

Sources:
- ""processes — one in which the young""
- ""non-communicable""
- ""Reproduction is essential to ensure the continuity of life on Earth.""
- ""A Grade 8 student moved to a new school in another city""",0.0062,0.0992,0.6927,873,126,-9.4654,dense
What is air pollution?,factual,General,"Air pollution is the contamination of air by harmful gases, dust, and smoke. Major causes include burning of fuels, industrial emissions, and vehicle exhaust.","Air pollution is a major problem that affects both people and the natural balance. According to the given text, air pollution is caused by various factors, including:

* Air pollution from factories
* Air pollution from vehicles
* Burning of fuels

These activities release harmful gases and particles into the air, leading to smog and acid rain. Air pollution can cause breathing problems, damage crops, and harm human health.

Sources:
- 'Pollution adds to the problem.'
- 'Air pollution from factories, vehicles, and burning fuels harms both people and the nature.'
- 'It can cause breathing problems, damage crops, and lead to smog and acid rain.'",0.0185,0.2097,0.7914,904,133,1.6414,dense
What is a synthetic fibre?,factual,Ch03_SyntheticFibres,"Synthetic fibres are man-made fibres produced from chemical substances. Examples include nylon, polyester, and acrylic. They are strong, durable, and less expensive than natural fibres.","Unfortunately, we do not have any information about synthetic fibres in the provided contexts.

However, based on Context 5, we do know that elements like iron and aluminium are used to construct bridges, buildings, and vehicles, but synthetic fibres are not mentioned.

Let's focus on what we learned earlier about fertilisers. The overuse of synthetic fertilisers in farming can lead to soil degradation and erosion.

Sources:
- Synthetic fertilisers and pesticides have played a vital role in improving crop production.
- It can potentially be used as an environmental cleaner, 
- for this reason, it can potentially be used as an environmental cleaner",0.0123,0.0945,0.7377,847,127,-6.5085,dense
What are metals and non-metals?,factual,Ch04_MetalsNonMetals,"Metals are elements that are generally shiny, malleable, ductile and good conductors of heat and electricity. Non-metals lack these properties; they are usually brittle and poor conductors.","Metals and non-metals are two main groups of elements. Metals are hard, shiny, and good conductors of heat and electricity. Examples of metals are gold, silver, magnesium, iron, and aluminium. They are usually malleable and can be beaten into thin sheets.

Non-metals, on the other hand, are non-shiny, brittle, and bad conductors of heat and electricity. Examples of non-metals are carbon, sulfur, hydrogen, and oxygen. These elements do not usually exist as solids at room temperature.

Some elements have properties that are in between those of metals and non-metals. These elements are called metalloids.

• Examples of metals: gold, silver, magnesium, iron, aluminium
• Examples of non-metals: carbon, sulfur, hydrogen, oxygen

Sources:
- ""aluminium are metals, whereas carbon, sulfur, hydrogen, and oxygen are non-metals""
- ""You have already studied that gold, silver, magnesium, iron, and aluminium are metals""
- ""Elements can be classified into metals and non-metals""",0.055,0.2135,0.8159,960,227,5.7156,dense
What is a fossil fuel?,factual,Ch05_CoalPetroleum,"Fossil fuels are fuels formed from the remains of ancient plants and animals buried under the Earth for millions of years. Coal, petroleum, and natural gas are the main fossil fuels.","A fossil fuel is a type of fuel that comes from ancient plants and animals. The textbook mentions that 'Burning fossil fuels like coal and oil releases greenhouse gases' (Context 1). This means that fossil fuels are substances like coal and oil that have been formed from the remains of ancient plants and animals over millions of years.

Some examples of fossil fuels mentioned in the textbook are coal and oil. These substances are formed when plants and animals are buried underground for a long time and undergo changes due to heat and pressure.

Key sources:

* 'Burning fossil fuels like coal and oil releases greenhouse gases' (Context 1)
* 'But when we burn fossil fuels, we release extra carbon that has been locked underground for millions of years' (Context 2)",0.0953,0.25,0.8021,926,155,-4.3822,dense
What is photosynthesis?,conceptual,Ch08_Cell,"Photosynthesis is the process by which plants prepare their own food using sunlight, carbon dioxide, and water. During this process, oxygen is released as a byproduct.","Photosynthesis is a process by which plants, like trees and mushrooms, use sunlight, water, and air to prepare food.

This process also releases oxygen, which is needed for respiration, the process of breathing. In other words, photosynthesis is like a food factory for plants, and oxygen is a necessary byproduct of this process.

In simple terms, photosynthesis involves plants using energy from the Sun to make their own food.

Sources:
- ""the soil to prepare food by photosynthesis."" (Context 1)
- ""make their own food through photosynthesis."" (Context 2 and Context 4)",0.0473,0.2586,0.8453,966,125,-0.7351,dense
What is the greenhouse effect?,conceptual,General,"The greenhouse effect is when gases like carbon dioxide in the atmosphere trap heat from the Sun, keeping the Earth warm enough for life to exist.","The greenhouse effect is a process that helps in maintaining a suitable temperature on Earth. It occurs when gases like carbon dioxide in the atmosphere trap heat by absorbing the radiation given off by the Earth. 

The heat from the Sun warms the Earth, and then the carbon dioxide gas in the atmosphere absorbs this radiation and traps the heat, preventing it from escaping. This process makes the Earth even warmer than it would be without the greenhouse effect.

The Earth's temperature is just right for life to exist due to this process. It's not as hot as Venus, which is closer to the Sun, but still warm enough for water to remain in a liquid state.

Sources:
- The air on Venus is almost entirely made up of carbon dioxide gas, which does not let the heat escape.
- Gases like carbon dioxide in the atmosphere trap heat by absorbing the radiation given off by the Earth, after it gets warmed by the Sun.
- Without the greenhouse effect, the Earth would lose heat to space and become too cold.",0.0885,0.2233,0.8353,938,204,5.4986,dense
