query,bleu_4,rouge_l,bert_f1,llm,embedding
What is friction?,0.1165,0.2716,0.829,llama-3.1-8b-instant,MiniLM
What are the types of microorganisms?,0.006,0.1509,0.7563,llama-3.1-8b-instant,MiniLM
What is photosynthesis?,0.0612,0.1988,0.8053,llama-3.1-8b-instant,MiniLM
What causes earthquakes?,0.0077,0.1111,0.7153,llama-3.1-8b-instant,MiniLM
What is the water cycle?,0.0477,0.2045,0.794,llama-3.1-8b-instant,MiniLM
What is friction?,0.0635,0.1843,0.8226,llama-3.3-70b-versatile,MiniLM
What are the types of microorganisms?,0.0417,0.2222,0.8135,llama-3.3-70b-versatile,MiniLM
What is photosynthesis?,0.0656,0.2094,0.842,llama-3.3-70b-versatile,MiniLM
What causes earthquakes?,0.0054,0.0286,0.7208,llama-3.3-70b-versatile,MiniLM
What is the water cycle?,0.0534,0.2022,0.7959,llama-3.3-70b-versatile,MiniLM
What is friction?,0.0526,0.1818,0.8033,llama-3.1-8b-instant,BGE-small
What are the types of microorganisms?,0.0091,0.1437,0.7654,llama-3.1-8b-instant,BGE-small
What is photosynthesis?,0.0157,0.2238,0.8095,llama-3.1-8b-instant,BGE-small
What causes earthquakes?,0.0085,0.0408,0.6723,llama-3.1-8b-instant,BGE-small
What is the water cycle?,0.0294,0.1944,0.7984,llama-3.1-8b-instant,BGE-small
